id,order_id,user_id,product_id,inventory_item_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
96280,66348,53112,15784,260137,Complete,2023-04-19 15:19:07 UTC,2023-04-22 06:45:00 UTC,2023-04-23 16:55:00 UTC,,3.5
138514,95477,76415,28679,374153,Complete,2023-05-26 02:44:28 UTC,2023-05-27 02:18:00 UTC,2023-05-28 06:08:00 UTC,,3.5
66589,45946,36871,15419,180026,Shipped,2023-03-26 00:00:11 UTC,2023-03-28 02:35:00 UTC,,,3.5
75872,52277,41888,15419,205031,Shipped,2023-05-23 11:42:08 UTC,2023-05-23 15:38:00 UTC,,,3.5
78496,54028,43307,28668,212084,Shipped,2023-06-23 16:21:38 UTC,2023-06-23 18:56:00 UTC,,,3.5
169432,116737,93284,24843,457694,Processing,2023-03-05 12:03:13 UTC,,,,3.5999999046325684
16063,11089,8976,12689,43467,Complete,2023-02-15 03:42:20 UTC,2023-02-18 00:44:00 UTC,2023-02-20 05:17:00 UTC,,3.6700000762939449
14359,9920,8031,11027,38845,Processing,2023-05-19 15:16:31 UTC,,,,3.7999999523162842
151023,104059,83304,11027,407871,Processing,2023-06-10 10:26:37 UTC,,,,3.7999999523162842
64930,44791,35914,28395,175549,Shipped,2023-04-01 14:41:23 UTC,2023-03-30 12:45:00 UTC,,,3.7999999523162842
39263,27073,21784,29033,106171,Complete,2023-02-02 11:04:39 UTC,2023-02-04 21:15:00 UTC,2023-02-07 14:24:00 UTC,,3.9500000476837158
100863,69543,55722,29033,272537,Complete,2023-01-27 15:27:26 UTC,2023-01-27 08:41:00 UTC,2023-01-31 11:47:00 UTC,,3.9500000476837158
172127,118601,94785,29033,464930,Complete,2023-01-15 00:07:34 UTC,2023-01-16 01:05:00 UTC,2023-01-16 22:58:00 UTC,,3.9500000476837158
11276,7776,6318,28873,30523,Shipped,2023-05-29 12:22:22 UTC,2023-05-27 07:41:00 UTC,,,3.9500000476837158
22121,15234,12303,28577,59885,Cancelled,2023-05-26 13:32:22 UTC,,,,3.9800000190734863
5272,3640,2940,28577,14248,Returned,2023-04-29 14:06:10 UTC,2023-04-29 19:08:00 UTC,2023-05-03 03:06:00 UTC,2023-05-05 08:31:00 UTC,3.9800000190734863
176372,121523,97190,28577,476365,Returned,2023-01-29 23:11:59 UTC,2023-01-31 16:02:00 UTC,2023-02-05 14:14:00 UTC,2023-02-07 18:00:00 UTC,3.9800000190734863
135283,93229,74624,29112,365423,Cancelled,2023-05-05 12:44:48 UTC,,,,3.9900000095367432
2509,1725,1382,28758,6820,Processing,2023-05-17 10:07:00 UTC,,,,3.9900000095367432
71937,49597,39776,12677,194424,Processing,2023-02-23 06:40:05 UTC,,,,3.9900000095367432
60272,41527,33302,15805,163019,Returned,2023-02-27 21:35:54 UTC,2023-03-01 04:50:00 UTC,2023-03-06 02:48:00 UTC,2023-03-06 04:34:00 UTC,3.9900000095367432
162437,111950,89475,28530,438727,Complete,2023-05-29 04:05:51 UTC,2023-05-31 04:35:00 UTC,2023-06-04 01:56:00 UTC,,4.0399999618530273
173211,119344,95393,28344,467819,Processing,2023-02-09 14:52:04 UTC,,,,4.0799999237060556
137247,94600,75718,12628,370738,Shipped,2023-05-12 09:49:59 UTC,2023-05-14 00:04:00 UTC,,,4.0999999046325684
146832,101217,81020,15757,396499,Shipped,2023-04-27 05:45:25 UTC,2023-04-26 20:42:00 UTC,,,4.2100000381469727
170448,117427,93844,13921,460394,Shipped,2023-01-17 00:32:33 UTC,2023-01-17 14:25:00 UTC,,,4.2100000381469727
51432,35423,28349,28705,139076,Processing,2023-06-09 15:17:45 UTC,,,,4.2699999809265137
43275,29824,23914,28705,117009,Shipped,2023-02-17 00:17:51 UTC,2023-02-19 13:08:00 UTC,,,4.2699999809265137
53579,36906,29537,28370,144872,Complete,2023-03-28 13:48:54 UTC,2023-03-26 12:35:00 UTC,2023-03-26 23:13:00 UTC,,4.5
67646,46673,37470,24922,182854,Complete,2023-03-11 03:26:57 UTC,2023-03-10 01:28:00 UTC,2023-03-13 17:38:00 UTC,,4.5
55009,37893,30323,28370,148748,Shipped,2023-02-15 04:19:10 UTC,2023-02-15 21:53:00 UTC,,,4.5
128284,88366,70733,15432,346403,Complete,2023-06-25 04:37:30 UTC,2023-06-26 04:53:00 UTC,2023-06-30 16:30:00 UTC,,4.5799999237060556
161191,111098,88791,13706,435393,Returned,2023-04-23 11:33:25 UTC,2023-04-22 04:26:00 UTC,2023-04-25 09:31:00 UTC,2023-04-26 01:46:00 UTC,4.5799999237060556
168948,116407,92999,13706,456384,Shipped,2023-04-19 02:30:19 UTC,2023-04-19 19:05:00 UTC,,,4.5799999237060556
180824,124520,99532,14064,488352,Complete,2023-05-18 04:15:07 UTC,2023-05-21 01:52:00 UTC,2023-05-21 05:09:00 UTC,,4.679999828338623
130714,90069,72069,28384,352992,Complete,2023-04-03 07:02:24 UTC,2023-04-03 13:32:00 UTC,2023-04-05 16:03:00 UTC,,4.8400001525878906
46426,31940,25584,28384,125562,Returned,2023-05-18 02:10:37 UTC,2023-05-16 09:08:00 UTC,2023-05-17 23:03:00 UTC,2023-05-18 23:37:00 UTC,4.8400001525878906
13230,9112,7352,28384,35797,Shipped,2023-02-14 11:53:45 UTC,2023-02-13 08:18:00 UTC,,,4.8400001525878906
76036,52384,41974,9031,205471,Shipped,2023-04-07 12:22:11 UTC,2023-04-09 15:56:00 UTC,,,4.8499999046325684
57447,39577,31688,28411,155371,Complete,2023-01-02 22:56:53 UTC,2023-01-01 06:23:00 UTC,2023-01-05 05:49:00 UTC,,4.880000114440918
117738,81094,64893,28457,317899,Complete,2023-06-12 12:19:37 UTC,2023-06-14 14:20:00 UTC,2023-06-17 05:15:00 UTC,,4.9499998092651367
156415,107809,86211,28457,422482,Complete,2023-02-02 12:52:13 UTC,2023-02-05 04:42:00 UTC,2023-02-05 16:49:00 UTC,,4.9499998092651367
154065,106197,84947,15575,416176,Processing,2023-06-25 07:36:52 UTC,,,,4.9499998092651367
167462,115364,92168,15569,452334,Processing,2023-04-03 23:29:50 UTC,,,,4.9499998092651367
141404,97440,77966,13780,381902,Returned,2023-05-15 07:43:31 UTC,2023-05-16 06:25:00 UTC,2023-05-17 09:27:00 UTC,2023-05-18 07:37:00 UTC,4.9499998092651367
47321,32554,26071,15569,127989,Shipped,2023-04-02 14:57:35 UTC,2023-04-04 00:54:00 UTC,,,4.9499998092651367
150353,103588,82917,28711,406043,Shipped,2023-04-23 11:00:43 UTC,2023-04-25 23:11:00 UTC,,,4.9499998092651367
129905,89487,71613,28803,350781,Processing,2023-05-12 16:02:42 UTC,,,,4.96999979019165
149682,103148,82588,13778,404203,Cancelled,2023-04-25 03:49:08 UTC,,,,4.9899997711181641
149909,103291,82692,11201,404826,Cancelled,2023-06-08 11:14:59 UTC,,,,4.9899997711181641
80747,55589,44579,13937,218100,Complete,2023-01-30 00:36:36 UTC,2023-01-29 17:51:00 UTC,2023-02-02 00:12:00 UTC,,4.9899997711181641
87101,59994,48076,15571,235208,Complete,2023-05-26 01:17:15 UTC,2023-05-26 08:38:00 UTC,2023-05-27 23:38:00 UTC,,4.9899997711181641
47468,32654,26150,24836,128376,Processing,2023-03-28 04:33:51 UTC,,,,4.9899997711181641
121934,83981,67223,5845,329218,Processing,2023-03-30 17:01:21 UTC,,,,4.9899997711181641
152431,105040,84063,24836,411733,Processing,2023-06-04 01:50:14 UTC,,,,4.9899997711181641
169792,116982,93464,14327,458641,Processing,2023-01-12 06:06:29 UTC,,,,4.9899997711181641
76237,52511,42079,15334,206029,Returned,2023-05-19 05:28:25 UTC,2023-05-19 13:10:00 UTC,2023-05-23 05:39:00 UTC,2023-05-23 22:23:00 UTC,4.9899997711181641
74235,51147,40968,28462,200619,Shipped,2023-04-25 06:44:31 UTC,2023-04-24 08:12:00 UTC,,,4.9899997711181641
162316,111871,89408,14327,438411,Shipped,2023-06-22 08:30:14 UTC,2023-06-22 11:33:00 UTC,,,4.9899997711181641
67065,46269,37145,28992,181297,Processing,2023-04-12 13:00:21 UTC,,,,5
10173,7045,5710,9002,27524,Shipped,2023-03-29 02:44:38 UTC,2023-03-31 13:43:00 UTC,,,5
47757,32832,26289,13972,129155,Shipped,2023-02-19 21:52:51 UTC,2023-02-20 21:44:00 UTC,,,5.0900001525878906
95709,65945,52786,28922,258586,Shipped,2023-02-15 03:39:50 UTC,2023-02-15 15:20:00 UTC,,,5.2899999618530273
73958,50959,40814,28357,199866,Complete,2023-06-21 07:38:04 UTC,2023-06-23 06:53:00 UTC,2023-06-24 10:45:00 UTC,,5.3299999237060556
148475,102342,81950,15376,400955,Complete,2023-05-17 00:27:09 UTC,2023-05-17 06:17:00 UTC,2023-05-19 05:15:00 UTC,,5.4899997711181641
159706,110079,88008,9085,431363,Shipped,2023-05-20 12:44:12 UTC,2023-05-18 15:52:00 UTC,,,5.5
143467,98896,79163,28613,387453,Complete,2023-01-03 01:24:41 UTC,2023-01-03 05:48:00 UTC,2023-01-08 04:47:00 UTC,,5.630000114440918
78874,54294,43525,14192,213128,Complete,2023-05-12 12:47:41 UTC,2023-05-14 06:54:00 UTC,2023-05-15 03:03:00 UTC,,5.6399998664855957
39700,27376,22007,15704,107338,Complete,2023-02-06 03:02:48 UTC,2023-02-07 07:13:00 UTC,2023-02-10 06:57:00 UTC,,5.8299999237060556
92792,63921,51134,15704,250674,Shipped,2023-03-25 16:46:42 UTC,2023-03-26 11:39:00 UTC,,,5.8299999237060556
131548,90604,72513,14037,355233,Complete,2023-04-17 04:36:54 UTC,2023-04-17 11:31:00 UTC,2023-04-17 23:39:00 UTC,,5.869999885559082
105042,72381,57955,5775,283822,Complete,2023-05-21 06:18:48 UTC,2023-05-21 20:21:00 UTC,2023-05-23 03:30:00 UTC,,5.9000000953674316
36798,25361,20401,5934,99574,Shipped,2023-02-07 23:54:20 UTC,2023-02-08 18:52:00 UTC,,,5.9000000953674316
33518,23074,18596,9149,90702,Complete,2023-01-30 03:37:07 UTC,2023-01-31 04:25:00 UTC,2023-02-01 12:02:00 UTC,,5.940000057220459
164902,113623,90806,9149,445430,Shipped,2023-01-23 13:05:30 UTC,2023-01-25 02:04:00 UTC,,,5.940000057220459
60807,41890,33590,25205,164476,Complete,2023-01-30 12:14:49 UTC,2023-01-31 10:36:00 UTC,2023-02-02 19:06:00 UTC,,5.9499998092651367
33944,23391,18868,13566,91841,Processing,2023-03-30 14:19:02 UTC,,,,5.9499998092651367
62839,43331,34688,25205,169955,Processing,2023-05-30 04:10:28 UTC,,,,5.9499998092651367
73025,50331,40342,12435,197325,Processing,2023-06-02 11:52:03 UTC,,,,5.9499998092651367
154293,106353,85089,28378,416784,Returned,2023-02-17 03:55:15 UTC,2023-02-17 06:41:00 UTC,2023-02-18 12:53:00 UTC,2023-02-19 14:40:00 UTC,5.9499998092651367
61518,42397,33987,24833,166401,Shipped,2023-03-13 07:09:34 UTC,2023-03-15 16:43:00 UTC,,,5.9499998092651367
70551,48661,39039,25205,190669,Shipped,2023-04-05 06:28:23 UTC,2023-04-05 23:52:00 UTC,,,5.9499998092651367
159888,110216,88120,25205,431831,Shipped,2023-06-24 09:14:19 UTC,2023-06-27 09:18:00 UTC,,,5.9499998092651367
60676,41808,33527,15988,164129,Shipped,2023-03-13 08:01:52 UTC,2023-03-11 21:50:00 UTC,,,5.9800000190734863
178162,122730,98148,14042,481168,Shipped,2023-04-16 10:45:09 UTC,2023-04-18 15:11:00 UTC,,,5.9800000190734863
84824,58400,46818,17043,229049,Cancelled,2023-01-02 10:47:31 UTC,,,,5.9899997711181641
118867,81887,65540,28815,320940,Cancelled,2023-06-05 14:23:49 UTC,,,,5.9899997711181641
77644,53466,42853,16411,209822,Complete,2023-01-10 14:20:41 UTC,2023-01-09 03:39:00 UTC,2023-01-13 10:17:00 UTC,,5.9899997711181641
121571,83740,67038,14086,328236,Complete,2023-06-21 23:57:43 UTC,2023-06-22 11:17:00 UTC,2023-06-26 13:06:00 UTC,,5.9899997711181641
61110,42101,33743,9419,165283,Processing,2023-04-28 16:43:48 UTC,,,,5.9899997711181641
101621,70059,56133,935,274584,Processing,2023-04-21 06:36:07 UTC,,,,5.9899997711181641
101078,69690,55844,28885,273113,Returned,2023-05-31 09:17:28 UTC,2023-06-02 07:15:00 UTC,2023-06-04 00:16:00 UTC,2023-06-05 03:04:00 UTC,5.9899997711181641
23262,16008,12927,935,62981,Shipped,2023-04-07 22:32:04 UTC,2023-04-11 00:20:00 UTC,,,5.9899997711181641
25948,17871,14453,25151,70211,Shipped,2023-04-21 17:25:13 UTC,2023-04-20 22:44:00 UTC,,,5.9899997711181641
85743,59040,47340,24963,231541,Shipped,2023-02-04 07:12:54 UTC,2023-02-06 02:28:00 UTC,,,5.9899997711181641
148811,102569,82132,6063,401855,Shipped,2023-03-24 09:50:42 UTC,2023-03-26 23:33:00 UTC,,,5.9899997711181641
158770,109436,87469,28815,428874,Shipped,2023-04-22 21:15:03 UTC,2023-04-25 05:43:00 UTC,,,5.9899997711181641
170293,117316,93764,15864,459977,Shipped,2023-06-08 14:06:42 UTC,2023-06-07 02:54:00 UTC,,,5.9899997711181641
99104,68311,54728,12702,267792,Complete,2023-04-12 13:01:56 UTC,2023-04-09 23:24:00 UTC,2023-04-10 13:47:00 UTC,,6
123161,84806,67865,11029,332595,Processing,2023-05-19 16:39:19 UTC,,,,6
48500,33347,26710,13601,131163,Returned,2023-04-11 09:31:27 UTC,2023-04-09 05:32:00 UTC,2023-04-10 03:56:00 UTC,2023-04-10 11:05:00 UTC,6
85770,59061,47358,13616,231613,Returned,2023-02-23 00:34:58 UTC,2023-02-24 05:00:00 UTC,2023-02-26 03:34:00 UTC,2023-02-26 12:44:00 UTC,6
95120,65538,52453,13601,256976,Returned,2023-05-14 00:14:18 UTC,2023-05-17 00:48:00 UTC,2023-05-21 19:23:00 UTC,2023-05-22 01:49:00 UTC,6
912,623,484,12533,2473,Shipped,2023-06-10 15:51:47 UTC,2023-06-13 09:46:00 UTC,,,6
162564,112032,89537,11029,439074,Shipped,2023-03-30 03:29:57 UTC,2023-03-27 10:40:00 UTC,,,6
70083,48328,38774,13603,189396,Complete,2023-03-18 06:28:23 UTC,2023-03-19 07:45:00 UTC,2023-03-23 04:18:00 UTC,,6.070000171661377
64731,44644,35797,28302,175022,Processing,2023-04-26 03:54:17 UTC,,,,6.070000171661377
7128,4948,3988,13603,19268,Shipped,2023-04-11 07:10:05 UTC,2023-04-13 03:31:00 UTC,,,6.070000171661377
413,279,217,28670,1110,Processing,2023-04-17 15:25:31 UTC,,,,6.179999828338623
38266,26378,21263,28714,103538,Cancelled,2023-02-24 10:53:06 UTC,,,,6.25
69864,48180,38665,13842,188813,Cancelled,2023-04-29 14:17:35 UTC,,,,6.25
80668,55530,44538,15674,217886,Cancelled,2023-06-18 06:19:31 UTC,,,,6.25
156820,108077,86411,15674,423568,Complete,2023-06-23 01:16:45 UTC,2023-06-23 08:19:00 UTC,2023-06-24 12:20:00 UTC,,6.25
29183,20086,16231,13842,78965,Processing,2023-03-07 16:00:21 UTC,,,,6.25
155867,107428,85922,13748,421024,Complete,2023-04-12 10:15:15 UTC,2023-04-14 07:04:00 UTC,2023-04-15 02:16:00 UTC,,6.3299999237060556
133883,92241,73838,13748,361599,Returned,2023-02-05 00:02:32 UTC,2023-02-07 15:04:00 UTC,2023-02-12 03:09:00 UTC,2023-02-13 08:31:00 UTC,6.3299999237060556
86112,59295,47534,25896,232527,Processing,2023-04-28 13:53:43 UTC,,,,6.3600001335144043
91292,62895,50371,25989,246601,Shipped,2023-06-09 18:09:53 UTC,2023-06-10 18:17:00 UTC,,,6.3600001335144043
49671,34169,27384,8979,134295,Processing,2023-05-14 01:06:29 UTC,,,,6.369999885559082
24156,16625,13421,8979,65353,Shipped,2023-02-07 10:07:11 UTC,2023-02-08 06:24:00 UTC,,,6.369999885559082
163063,112373,89804,14073,440436,Complete,2023-02-01 01:54:46 UTC,2023-02-03 23:54:00 UTC,2023-02-08 14:01:00 UTC,,6.440000057220459
181283,124842,99782,5745,489600,Complete,2023-05-12 09:13:30 UTC,2023-05-14 12:33:00 UTC,2023-05-15 00:18:00 UTC,,6.4499998092651367
160428,110597,88404,506,433319,Shipped,2023-03-09 05:08:47 UTC,2023-03-09 11:31:00 UTC,,,6.4499998092651367
79545,54760,43915,7156,214878,Cancelled,2023-01-27 09:43:07 UTC,,,,6.4899997711181641
264,171,127,28424,704,Complete,2023-06-21 11:25:15 UTC,2023-06-24 04:39:00 UTC,2023-06-26 09:40:00 UTC,,6.4899997711181641
56769,39106,31299,7156,153543,Processing,2023-05-04 11:06:13 UTC,,,,6.4899997711181641
140055,96533,77253,9254,378280,Cancelled,2023-02-21 15:49:01 UTC,,,,6.5
1039,709,553,24572,2821,Complete,2023-04-08 09:03:52 UTC,2023-04-11 06:48:00 UTC,2023-04-13 00:08:00 UTC,,6.5
24284,16712,13501,9407,65705,Processing,2023-02-20 11:29:59 UTC,,,,6.5
39903,27522,22131,9430,107892,Returned,2023-06-23 16:12:35 UTC,2023-06-24 07:49:00 UTC,2023-06-26 06:18:00 UTC,2023-06-26 18:52:00 UTC,6.5
10538,7287,5900,9201,28524,Shipped,2023-06-03 22:15:04 UTC,2023-06-06 13:33:00 UTC,,,6.5
44638,30747,24650,24572,120724,Shipped,2023-06-01 00:14:24 UTC,2023-06-02 17:21:00 UTC,,,6.5
54946,37850,30285,24954,148583,Shipped,2023-06-11 11:18:15 UTC,2023-06-11 22:17:00 UTC,,,6.5
77156,53128,42595,6243,208500,Shipped,2023-05-06 05:32:11 UTC,2023-05-06 12:48:00 UTC,,,6.5
95744,65969,52805,6243,258683,Shipped,2023-03-04 08:46:04 UTC,2023-02-28 18:09:00 UTC,,,6.5
114521,78898,63155,9254,309235,Shipped,2023-01-26 07:31:39 UTC,2023-01-26 10:40:00 UTC,,,6.5
162663,112099,89589,18229,439334,Shipped,2023-01-23 03:06:54 UTC,2023-01-24 07:13:00 UTC,,,6.5
73203,50447,40435,3084,197809,Processing,2023-01-22 05:00:12 UTC,,,,6.570000171661377
169627,116870,93392,6110,458220,Shipped,2023-02-04 08:29:32 UTC,2023-01-31 21:54:00 UTC,,,6.5900001525878906
76406,52628,42167,8960,206484,Shipped,2023-06-01 06:03:52 UTC,2023-06-03 00:02:00 UTC,,,6.6500000953674316
161323,111187,88855,8960,435740,Shipped,2023-02-06 22:30:45 UTC,2023-02-08 01:22:00 UTC,,,6.6500000953674316
98120,67644,54181,11569,265152,Processing,2023-01-19 15:33:17 UTC,,,,6.679999828338623
122232,84179,67376,11569,330046,Processing,2023-04-11 06:39:09 UTC,,,,6.679999828338623
52555,36191,28976,6262,142136,Shipped,2023-02-03 10:43:54 UTC,2023-02-04 07:17:00 UTC,,,6.7100000381469727
158431,109199,87273,6156,427972,Shipped,2023-03-18 11:45:38 UTC,2023-03-20 02:47:00 UTC,,,6.7300000190734863
54413,37486,29993,28595,147151,Shipped,2023-01-04 13:25:33 UTC,2023-01-01 10:54:00 UTC,,,6.75
149492,103026,82506,24994,403696,Shipped,2023-06-03 06:41:22 UTC,2023-06-02 08:49:00 UTC,,,6.7600002288818359
52278,35999,28805,25923,141368,Shipped,2023-03-06 05:58:55 UTC,2023-03-08 19:39:00 UTC,,,6.8299999237060556
98565,67947,54426,28418,266341,Processing,2023-01-09 21:54:20 UTC,,,,6.8499999046325684
56246,38750,31025,12691,152099,Returned,2023-04-28 08:53:05 UTC,2023-04-29 21:27:00 UTC,2023-05-01 05:02:00 UTC,2023-05-01 11:38:00 UTC,6.9000000953674316
7425,5149,4123,13676,20052,Processing,2023-02-12 01:35:54 UTC,,,,6.9200000762939444
9520,6587,5331,15367,25755,Processing,2023-05-23 22:26:38 UTC,,,,6.9200000762939444
72913,50261,40283,5986,197017,Shipped,2023-06-22 00:48:17 UTC,2023-06-21 06:13:00 UTC,,,6.940000057220459
108379,74698,59844,5849,292795,Shipped,2023-04-08 02:26:35 UTC,2023-04-08 18:18:00 UTC,,,6.940000057220459
85570,58921,47243,15600,231067,Cancelled,2023-04-04 02:01:28 UTC,,,,6.9499998092651367
140369,96737,77419,9470,379118,Cancelled,2023-05-30 01:25:02 UTC,,,,6.9499998092651367
142981,98576,78889,12445,386132,Cancelled,2023-03-07 09:25:48 UTC,,,,6.9499998092651367
105546,72729,58214,5930,285178,Processing,2023-06-21 06:36:44 UTC,,,,6.9499998092651367
179227,123430,98704,29071,484035,Processing,2023-02-21 08:32:03 UTC,,,,6.9499998092651367
38073,26243,21153,9470,103004,Returned,2023-03-11 03:42:51 UTC,2023-03-10 20:28:00 UTC,2023-03-15 13:34:00 UTC,2023-03-17 06:59:00 UTC,6.9499998092651367
129615,89295,71458,14268,349973,Shipped,2023-02-17 08:13:39 UTC,2023-02-18 20:44:00 UTC,,,6.9499998092651367
143847,99165,79382,12445,388461,Shipped,2023-05-10 06:42:25 UTC,2023-05-11 18:40:00 UTC,,,6.9499998092651367
169874,117039,93518,12445,458870,Shipped,2023-04-09 04:16:57 UTC,2023-04-09 11:43:00 UTC,,,6.9499998092651367
150536,103711,83020,5851,406549,Processing,2023-01-10 06:37:13 UTC,,,,6.96999979019165
149655,103131,82578,26142,404126,Shipped,2023-05-04 23:01:50 UTC,2023-05-07 12:57:00 UTC,,,6.96999979019165
70648,48730,39096,10935,190931,Complete,2023-01-10 09:01:03 UTC,2023-01-12 14:29:00 UTC,2023-01-14 20:25:00 UTC,,6.9800000190734863
84289,58030,46533,6446,227656,Complete,2023-01-31 10:28:58 UTC,2023-02-01 00:09:00 UTC,2023-02-02 13:23:00 UTC,,6.9800000190734863
15636,10799,8746,28481,42323,Returned,2023-02-14 08:02:50 UTC,2023-02-16 04:15:00 UTC,2023-02-20 19:33:00 UTC,2023-02-22 11:28:00 UTC,6.9800000190734863
174355,120124,96046,6446,470925,Returned,2023-03-19 02:53:41 UTC,2023-03-19 17:46:00 UTC,2023-03-20 13:13:00 UTC,2023-03-21 14:57:00 UTC,6.9800000190734863
69158,47702,38267,5984,186923,Shipped,2023-05-21 23:47:54 UTC,2023-05-24 21:54:00 UTC,,,6.9800000190734863
9902,6860,5554,14000,26779,Cancelled,2023-03-10 04:35:00 UTC,,,,6.9899997711181641
49978,34390,27555,11453,135127,Cancelled,2023-06-07 23:14:04 UTC,,,,6.9899997711181641
124948,86063,68911,9318,337374,Cancelled,2023-03-07 10:48:47 UTC,,,,6.9899997711181641
4446,3057,2447,5847,11988,Complete,2023-02-18 03:17:02 UTC,2023-02-20 10:06:00 UTC,2023-02-24 19:19:00 UTC,,6.9899997711181641
30826,21209,17097,13722,83451,Complete,2023-04-16 09:43:36 UTC,2023-04-18 13:27:00 UTC,2023-04-21 15:22:00 UTC,,6.9899997711181641
41729,28772,23095,13844,112816,Complete,2023-06-21 06:20:35 UTC,2023-06-23 18:22:00 UTC,2023-06-24 21:45:00 UTC,,6.9899997711181641
51120,35203,28178,14000,138226,Complete,2023-01-30 09:26:30 UTC,2023-02-01 22:42:00 UTC,2023-02-04 20:09:00 UTC,,6.9899997711181641
94310,64981,52002,13844,254809,Complete,2023-05-05 01:07:50 UTC,2023-05-05 18:03:00 UTC,2023-05-09 22:43:00 UTC,,6.9899997711181641
140361,96732,77415,15455,379094,Complete,2023-04-04 04:20:52 UTC,2023-04-02 00:25:00 UTC,2023-04-06 23:41:00 UTC,,6.9899997711181641
140536,96862,77519,9306,379557,Complete,2023-03-11 09:21:58 UTC,2023-03-12 00:41:00 UTC,2023-03-15 12:50:00 UTC,,6.9899997711181641
142817,98460,78789,13722,385696,Complete,2023-02-16 01:11:03 UTC,2023-02-17 02:46:00 UTC,2023-02-18 13:20:00 UTC,,6.9899997711181641
151685,104524,83643,27270,409689,Complete,2023-05-31 06:25:38 UTC,2023-06-02 06:20:00 UTC,2023-06-03 00:45:00 UTC,,6.9899997711181641
162940,112287,89740,13801,440094,Complete,2023-03-22 15:46:09 UTC,2023-03-22 10:09:00 UTC,2023-03-26 12:15:00 UTC,,6.9899997711181641
20278,13951,11239,5795,54913,Processing,2023-01-19 05:11:33 UTC,,,,6.9899997711181641
30628,21075,16988,12439,82914,Processing,2023-03-20 11:40:12 UTC,,,,6.9899997711181641
59131,40752,32667,9024,159924,Processing,2023-02-05 07:56:37 UTC,,,,6.9899997711181641
75538,52048,41715,15455,204121,Processing,2023-04-07 16:10:08 UTC,,,,6.9899997711181641
86014,59224,47471,15926,232260,Processing,2023-02-28 10:48:16 UTC,,,,6.9899997711181641
124954,86068,68913,9306,337389,Processing,2023-02-04 08:08:10 UTC,,,,6.9899997711181641
