product_id,sold,available_quantity,stock_turnover_ratio,product_category,product_brand
28492,4,3.0,1.3333333333333333,Accessories,Pendleton
21589,4,2.0,2.0,Jeans,Wrangler
28838,4,1.0,4.0,Accessories,Suncloud
16829,4,1.0,4.0,Tops & Tees,Bravado
27651,4,4.0,1.0,Swim,Volcom
10665,4,1.0,4.0,Intimates,Elomi
12681,4,2.0,2.0,Intimates,Brabag
27685,4,1.0,4.0,Swim,Burnside
16073,4,1.0,4.0,Tops & Tees,Calvin Klein Jeans
16380,4,,,Tops & Tees,Harley-Davidson
17128,4,,,Fashion Hoodies & Sweatshirts,Authentic Pigment
7139,4,4.0,1.0,Skirts,Allegra K
5227,4,1.0,4.0,Pants & Capris,Dockers
24712,4,,,Socks,HUGO BOSS
24499,4,3.0,1.3333333333333333,Socks,HUGO BOSS
5134,3,2.0,1.5,Pants & Capris,A. Byer
12773,3,,,Swim,Body Glove
22025,3,2.0,1.5,Pants,Allegra K
19582,3,1.0,3.0,Sweaters,Wool Overs
25278,3,,,Socks,Socksmith
842,3,2.0,1.5,Sweaters,Patty
18330,3,1.0,3.0,Active,Wolverine
16595,3,2.0,1.5,Tops & Tees,Pacific Legend
16158,3,2.0,1.5,Tops & Tees,Lee
24930,3,1.0,3.0,Socks,Ames
8366,3,1.0,3.0,Outerwear & Coats,London Fog
5065,3,4.0,0.75,Jeans,Siwy
25629,3,3.0,1.0,Underwear,Perry Ellis
23586,3,2.0,1.5,Shorts,Jack Spade
28881,3,4.0,0.75,Accessories,Dorfman Pacific
23844,3,1.0,3.0,Outerwear & Coats,Roger Enterprises
13960,3,1.0,3.0,Accessories,boxed-gifts
546,3,4.0,0.75,Tops & Tees,Three Dots
19078,3,2.0,1.5,Sweaters,Pendleton
25015,3,3.0,1.0,Socks,Incrediwear
18440,3,1.0,3.0,Active,Champion
28320,3,,,Accessories,Fratelli Orsini Everyday
26703,3,2.0,1.5,Sleep & Lounge,Spa & Resort
28318,3,4.0,0.75,Accessories,Amicale
18303,3,3.0,1.0,Active,adidas
26637,3,1.0,3.0,Sleep & Lounge,Bottoms Out
22041,3,2.0,1.5,Pants,Haggar
24200,3,1.0,3.0,Outerwear & Coats,Helly Hansen
22700,3,1.0,3.0,Shorts,Levi's
18833,3,2.0,1.5,Sweaters,Dockers
6196,3,4.0,0.75,Leggings,SK Hat shop
23610,3,1.0,3.0,Shorts,Quiksilver
16764,3,3.0,1.0,Tops & Tees,Ibex
19238,3,2.0,1.5,Sweaters,Kenneth Cole
18504,3,1.0,3.0,Active,adidas
4404,3,3.0,1.0,Jeans,7 For All Mankind
22162,3,2.0,1.5,Pants,WESC
28146,3,,,Swim,Quiksilver
20607,3,3.0,1.0,Jeans,Lee
9994,3,,,Sleep & Lounge,Munki Munki
20589,3,,,Jeans,Carhartt
10320,3,1.0,3.0,Sleep & Lounge,DreamSacks
3330,3,,,Dresses,Allegra K
16887,3,,,Tops & Tees,Volcom
18350,3,1.0,3.0,Active,Under Armour
26931,3,1.0,3.0,Sleep & Lounge,Ed Hardy
19616,3,1.0,3.0,Sweaters,The Little Alpaca's House
2929,3,2.0,1.5,Active,K-Swiss
24825,3,2.0,1.5,Socks,Dr. Scholl's
10574,3,,,Intimates,Playtex
4108,3,3.0,1.0,Jumpsuits & Rompers,Allegra K
27285,3,1.0,3.0,Sleep & Lounge,State O Maine
20452,3,3.0,1.0,Suits & Sport Coats,Ralph Lauren
883,3,1.0,3.0,Sweaters,Sofie
28751,3,,,Accessories,Harley-Davidson
22521,3,4.0,0.75,Pants,Silly yogi
5110,3,1.0,3.0,Pants & Capris,Lee
20433,3,3.0,1.0,Suits & Sport Coats,Giorgio Cerruti
20816,3,2.0,1.5,Jeans,Wrangler
12995,3,,,Swim,Seafolly
28169,3,,,Swim,Quiksilver
18822,3,1.0,3.0,Sweaters,Carhartt
27348,3,5.0,0.6,Sleep & Lounge,Marrikas
15381,3,2.0,1.5,Plus,Dr. Rey Shapewear
15597,3,1.0,3.0,Plus,Vanity Fair
18716,3,2.0,1.5,Active,Pearl iZUMi
10204,3,,,Sleep & Lounge,bSoft
23069,3,1.0,3.0,Shorts,Tommy Bahama
3844,3,4.0,0.75,Dresses,French Connection
2702,3,3.0,1.0,Active,K-Swiss
26188,3,,,Underwear,Hanes
21536,3,3.0,1.0,Jeans,LRG
28703,3,1.0,3.0,Accessories,GUESS
27123,3,3.0,1.0,Sleep & Lounge,Daniel Buchler
18613,3,1.0,3.0,Active,Tri-Mountain
1910,3,1.0,3.0,Fashion Hoodies & Sweatshirts,Tokidoki
27542,3,,,Swim,O'Neill
13793,3,3.0,1.0,Accessories,Coach
9555,3,2.0,1.5,Sleep & Lounge,Calvin Klein
3613,3,1.0,3.0,Dresses,Funfash
12503,3,3.0,1.0,Intimates,Laura
605,3,1.0,3.0,Tops & Tees,bebe
2302,3,2.0,1.5,Fashion Hoodies & Sweatshirts,Blanks Plus
7832,3,3.0,1.0,Blazers & Jackets,2b by bebe
21985,3,1.0,3.0,Pants,KR3W
2351,3,,,Fashion Hoodies & Sweatshirts,Jack
12748,3,2.0,1.5,Swim,Alki'i
6066,3,1.0,3.0,Leggings,Foot Traffic
9132,3,,,Socks & Hosiery,Buster Brown
21372,3,4.0,0.75,Jeans,7 For All Mankind
13185,3,,,Swim,Seafolly
21412,3,,,Jeans,Agave
15934,3,2.0,1.5,Plus,Switchblade Stiletto
3796,3,4.0,0.75,Dresses,Volcom
15444,3,1.0,3.0,Plus,TrendsBlue
2599,3,2.0,1.5,Active,adidas
11894,3,3.0,1.0,Intimates,Rago
28569,3,,,Accessories,FQH
16794,3,,,Tops & Tees,Polo Ralph Lauren
16,3,2.0,1.5,Tops & Tees,2b by bebe
21946,3,3.0,1.0,Pants,Oakley
10926,3,1.0,3.0,Intimates,b.tempt'd by Wacoal
25471,3,2.0,1.5,Underwear,Duofold
17788,3,,,Fashion Hoodies & Sweatshirts,Football Fanatics
18050,3,3.0,1.0,Active,Russell Athletic
7177,3,1.0,3.0,Skirts,American Apparel
8862,3,,,Socks & Hosiery,SmartWool
9538,3,1.0,3.0,Sleep & Lounge,Bottoms Out
13069,3,1.0,3.0,Swim,L*Space
22036,3,2.0,1.5,Pants,Dockers
27248,3,,,Sleep & Lounge,HUGO BOSS
18376,3,1.0,3.0,Active,Carhartt
22007,3,2.0,1.5,Pants,Tru-Spec
18454,3,3.0,1.0,Active,Hawke & Co
6308,3,3.0,1.0,Shorts,Dockers
4655,3,1.0,3.0,Jeans,Liverpool Jeans Company
26332,3,,,Underwear,Rated M
18001,3,1.0,3.0,Fashion Hoodies & Sweatshirts,Hot Topic
11277,3,,,Intimates,Leonisa
14404,3,,,Maternity,Medela
18409,3,,,Active,Leonisa
18897,3,,,Sweaters,Perry Ellis
23361,3,,,Shorts,Rapid Dominance
20740,3,2.0,1.5,Jeans,prAna
16347,3,3.0,1.0,Tops & Tees,Van Heusen
19833,3,,,Suits & Sport Coats,Tommy Hilfiger
24829,3,1.0,3.0,Socks,Gold Toe
6444,3,1.0,3.0,Shorts,Stitch's
4807,3,,,Jeans,Red Engine
20964,3,4.0,0.75,Jeans,Diesel
13450,3,2.0,1.5,Swim,Roxy
905,3,1.0,3.0,Sweaters,Anne Klein
3629,3,,,Dresses,Wrapper
6020,3,2.0,1.5,Leggings,TheLees
17689,3,3.0,1.0,Fashion Hoodies & Sweatshirts,Vince
18887,3,,,Sweaters,Nautica
5507,3,,,Pants & Capris,Not Your Daughter's Jeans
28765,3,,,Accessories,Costa Del Mar
18045,3,1.0,3.0,Active,Russell Athletic
21688,3,,,Pants,Perry Ellis
14226,3,2.0,1.5,Accessories,Outdoor Research
25499,3,1.0,3.0,Underwear,Calvin Klein
28027,3,,,Swim,Alpinestars
6437,3,1.0,3.0,Shorts,Eddie Bauer
22329,3,1.0,3.0,Pants,Dockers
24925,3,2.0,1.5,Socks,Bjorn Borg
26110,3,2.0,1.5,Underwear,MK underwear
19432,3,3.0,1.0,Sweaters,AIRBLASTER
12534,3,1.0,3.0,Intimates,Maidenform
21867,3,,,Pants,Haggar
20528,3,1.0,3.0,Suits & Sport Coats,Etnies
8631,3,,,Outerwear & Coats,Mountain Hardwear
27704,3,3.0,1.0,Swim,RVCA
7753,3,,,Blazers & Jackets,Allegra K
26039,3,2.0,1.5,Underwear,Intimo
3635,3,1.0,3.0,Dresses,Curve Appeal
6534,3,1.0,3.0,Shorts,Mod-O-Doc
22282,3,6.0,0.5,Pants,Original Penguin
9933,3,,,Sleep & Lounge,The Pajamagram Company
19329,3,,,Sweaters,Allegra K
21370,3,,,Jeans,G-Star
8337,3,3.0,1.0,Outerwear & Coats,Mountain Hardwear
7879,3,,,Blazers & Jackets,Allegra K
17809,3,2.0,1.5,Fashion Hoodies & Sweatshirts,Superdry
2865,3,2.0,1.5,Active,Marmot
17653,3,2.0,1.5,Fashion Hoodies & Sweatshirts,Alternative
6971,3,1.0,3.0,Shorts,ANS
27595,3,,,Swim,Fox
4287,3,5.0,0.6,Jeans,Levi's
20199,3,2.0,1.5,Suits & Sport Coats,G by GUESS
25488,3,1.0,3.0,Underwear,Alexander Del Rossa
16733,3,3.0,1.0,Tops & Tees,FEA
27932,3,,,Swim,N2N
21083,3,3.0,1.0,Jeans,Joe's Jeans
3767,3,1.0,3.0,Dresses,Aqua
13807,3,2.0,1.5,Accessories,Marshal
12074,3,1.0,3.0,Intimates,Bslingerie
26773,3,1.0,3.0,Sleep & Lounge,Nautica
6721,3,1.0,3.0,Shorts,Freestyle
22633,3,1.0,3.0,Pants,Altamont
14842,3,1.0,3.0,Maternity,Spanx
20016,3,1.0,3.0,Suits & Sport Coats,Ralph Lauren
18608,3,1.0,3.0,Active,Champion
10687,3,,,Intimates,Exquisite Form
14411,3,2.0,1.5,Maternity,Medela
4111,3,1.0,3.0,Jumpsuits & Rompers,Allegra K
28187,3,1.0,3.0,Swim,Fox
28985,3,2.0,1.5,Accessories,Jaxon
13270,3,2.0,1.5,Swim,East of Maui Hawaiian Store
24055,3,1.0,3.0,Outerwear & Coats,Allegra K
25386,3,,,Underwear,Duofold
24344,3,3.0,1.0,Outerwear & Coats,Patagonia
15862,3,,,Plus,Luxury Divas
26439,3,1.0,3.0,Underwear,C-IN2
7501,3,1.0,3.0,Blazers & Jackets,Only Hearts
4681,3,3.0,1.0,Jeans,Levi's
28771,3,2.0,1.5,Accessories,TUMI
3777,3,1.0,3.0,Dresses,Calvin Klein
20223,3,2.0,1.5,Suits & Sport Coats,Caravelli
17672,3,1.0,3.0,Fashion Hoodies & Sweatshirts,Port Company
24333,3,1.0,3.0,Outerwear & Coats,Tommy Hilfiger
24122,3,2.0,1.5,Outerwear & Coats,Arc'teryx
25260,3,4.0,0.75,Socks,Harbor Bay
25243,3,1.0,3.0,Socks,Ralph Lauren
19872,3,,,Suits & Sport Coats,Louis Raphael
16055,3,,,Tops & Tees,Diesel
3737,3,2.0,1.5,Dresses,Hot from Hollywood
14606,3,1.0,3.0,Maternity,Three Seasons Maternity
22944,3,4.0,0.75,Shorts,Diesel
11361,3,,,Intimates,Julie France
28099,3,2.0,1.5,Swim,Maui and Sons
7880,3,1.0,3.0,Blazers & Jackets,Allegra K
20770,3,2.0,1.5,Jeans,Nautica
4095,3,1.0,3.0,Jumpsuits & Rompers,e.vil
7136,3,1.0,3.0,Skirts,Soybu
18684,3,3.0,1.0,Active,Rocky
26609,3,,,Sleep & Lounge,Nautica
18848,3,1.0,3.0,Sweaters,Kenneth Cole
5193,3,,,Pants & Capris,Jones New York
17090,3,,,Fashion Hoodies & Sweatshirts,DC
19364,3,1.0,3.0,Sweaters,Chaps
28087,3,1.0,3.0,Swim,Billabong
22899,3,1.0,3.0,Shorts,French Connection
19114,3,3.0,1.0,Sweaters,Pendleton
2908,3,,,Active,Under Armour
29104,3,2.0,1.5,Accessories,Nautica
16654,3,1.0,3.0,Tops & Tees,Lucky Brand
17148,3,2.0,1.5,Fashion Hoodies & Sweatshirts,Champion
4998,3,1.0,3.0,Jeans,Hot Topic
13561,3,2.0,1.5,Swim,LUXE By Lisa Vogel
8450,3,,,Outerwear & Coats,Columbia
7035,3,1.0,3.0,Shorts,Icon
23181,3,,,Shorts,Quiksilver
4520,3,2.0,1.5,Jeans,Not Your Daughter's Jeans
22066,3,3.0,1.0,Pants,RSQ
25220,3,3.0,1.0,Socks,Stance
24354,3,3.0,1.0,Outerwear & Coats,Marmot
8339,3,1.0,3.0,Outerwear & Coats,MICHAEL Michael Kors
13286,3,1.0,3.0,Swim,MagicSuit
22005,3,2.0,1.5,Pants,Haggar
11416,3,,,Intimates,Ilusion
8751,3,,,Outerwear & Coats,Jessica Simpson
8196,3,,,Suits,Evan Picone
7207,3,1.0,3.0,Skirts,Baby'O Clothing Co.
23492,3,,,Shorts,Kenneth Cole New York
28223,3,1.0,3.0,Swim,Volcom
6530,3,2.0,1.5,Shorts,G-Star
24584,3,,,Socks,Hanes
7461,3,1.0,3.0,Skirts,Hot from Hollywood
23410,3,2.0,1.5,Shorts,Volcom
2664,3,1.0,3.0,Active,Capezio
25337,3,3.0,1.0,Socks,Tommy Bahama
9838,3,3.0,1.0,Sleep & Lounge,Telegraph Hill Luxury Spa Robe
17896,3,2.0,1.5,Fashion Hoodies & Sweatshirts,NEFF
24263,3,3.0,1.0,Outerwear & Coats,Eddie Bauer
24185,3,2.0,1.5,Outerwear & Coats,Ralph Lauren
18336,3,2.0,1.5,Active,Coolibar
13310,3,,,Swim,LAT Sportswear
23703,3,1.0,3.0,Outerwear & Coats,Carhartt
23053,3,4.0,0.75,Shorts,Dickies
27630,3,3.0,1.0,Swim,Onia
12868,3,1.0,3.0,Swim,Speedo
20243,3,,,Suits & Sport Coats,Allegra K
4498,3,,,Jeans,Rock Revival
3142,3,1.0,3.0,Dresses,Suzi Chin
10208,3,1.0,3.0,Sleep & Lounge,Hello Kitty
22183,3,4.0,0.75,Pants,Quiksilver
26955,3,,,Sleep & Lounge,Knothe
15529,3,1.0,3.0,Plus,Ray-Ban
8649,3,,,Outerwear & Coats,BB Dakota
18281,3,4.0,0.75,Active,Charles River Apparel
18114,3,,,Active,Duofold
17329,3,2.0,1.5,Fashion Hoodies & Sweatshirts,UltraClub
18647,3,1.0,3.0,Active,Minus33 Merino Wool
20149,3,3.0,1.0,Suits & Sport Coats,Ralph Lauren
29013,3,3.0,1.0,Accessories,Ducti
24498,3,2.0,1.5,Socks,Carhartt
14254,3,,,Accessories,Kenneth Cole
4757,3,,,Jeans,CJ by Cookie Johnson
5122,3,3.0,1.0,Pants & Capris,Alfred Dunner
26992,3,2.0,1.5,Sleep & Lounge,Nautica
21820,3,,,Pants,DC
1260,3,,,Sweaters,Splendid
18184,3,1.0,3.0,Active,Columbia
5839,3,,,Leggings,Anna-Kaci
2030,3,2.0,1.5,Fashion Hoodies & Sweatshirts,Life Is Good
2228,3,,,Fashion Hoodies & Sweatshirts,Activewear Apparel
16551,3,1.0,3.0,Tops & Tees,Devon & Jones
22976,3,6.0,0.5,Shorts,Ambiguous
15860,3,1.0,3.0,Plus,Suncloud
9636,3,,,Sleep & Lounge,Karen Nueburger
23662,3,3.0,1.0,Outerwear & Coats,Columbia
20260,3,1.0,3.0,Suits & Sport Coats,Michael Kors
25893,3,1.0,3.0,Underwear,2(x)ist
27502,3,,,Swim,Gary Majdell Sport
18877,3,2.0,1.5,Sweaters,Alex Stevens
11950,3,1.0,3.0,Intimates,Jolie
9029,3,,,Socks & Hosiery,Sock It To Me
429,3,1.0,3.0,Tops & Tees,High Style
16119,3,2.0,1.5,Tops & Tees,Champion
1823,3,2.0,1.5,Fashion Hoodies & Sweatshirts,Activewear Apparel
4609,3,4.0,0.75,Jeans,Levi's
8314,3,3.0,1.0,Outerwear & Coats,Columbia
20669,3,1.0,3.0,Jeans,Levi's
20183,3,2.0,1.5,Suits & Sport Coats,Orvis
28259,3,2.0,1.5,Swim,Rainbow
18024,3,1.0,3.0,Fashion Hoodies & Sweatshirts,Element
4720,3,2.0,1.5,Jeans,eloquii
23494,3,,,Shorts,Quiksilver
2265,3,,,Fashion Hoodies & Sweatshirts,Threadless
9112,3,1.0,3.0,Socks & Hosiery,Carhartt
12965,3,3.0,1.0,Swim,Body Glove
8895,3,2.0,1.5,Socks & Hosiery,Snoozies
16479,3,,,Tops & Tees,HUGO BOSS
13818,3,1.0,3.0,Accessories,Isotoner
18461,3,3.0,1.0,Active,Sugoi
20089,3,1.0,3.0,Suits & Sport Coats,Allegra K
24646,3,1.0,3.0,Socks,Wigwam
25058,3,1.0,3.0,Socks,IZOD
9893,3,1.0,3.0,Sleep & Lounge,DreamSacks
16057,3,1.0,3.0,Tops & Tees,G-Star
16281,3,1.0,3.0,Tops & Tees,Fruit of the Loom
20709,3,4.0,0.75,Jeans,Levi's
22153,3,2.0,1.5,Pants,Kenneth Cole
28308,3,,,Accessories,DC
264,3,1.0,3.0,Tops & Tees,Flexees
19285,3,1.0,3.0,Sweaters,Ben Sherman
2296,3,1.0,3.0,Fashion Hoodies & Sweatshirts,Independent Trading Co
11737,3,1.0,3.0,Intimates,wear ease
12949,3,,,Swim,Gottex
2369,3,,,Fashion Hoodies & Sweatshirts,Roxy
14386,3,,,Maternity,Ripe Maternity
24908,3,1.0,3.0,Socks,New Balance
17804,3,4.0,0.75,Fashion Hoodies & Sweatshirts,Ducati
17430,3,1.0,3.0,Fashion Hoodies & Sweatshirts,Kuhl
2288,3,4.0,0.75,Fashion Hoodies & Sweatshirts,blank apparel
11553,3,,,Intimates,Comfort Choice
27062,3,2.0,1.5,Sleep & Lounge,Majestic International
6717,3,,,Shorts,Activewear Apparel
17394,3,,,Fashion Hoodies & Sweatshirts,Calvin Klein
17593,3,1.0,3.0,Fashion Hoodies & Sweatshirts,Crooks & Castles
20724,3,1.0,3.0,Jeans,Diesel
8657,3,,,Outerwear & Coats,Via Spiga
16304,3,,,Tops & Tees,Under Armour
1748,3,2.0,1.5,Fashion Hoodies & Sweatshirts,Fox
11776,3,,,Intimates,Spree
16835,3,,,Tops & Tees,Brooks
22268,3,2.0,1.5,Pants,Tommy Hilfiger
24762,3,,,Socks,Thorlo
26302,3,2.0,1.5,Underwear,Papi
22622,3,1.0,3.0,Pants,Howe
28486,3,1.0,3.0,Accessories,ASICS
27318,3,,,Sleep & Lounge,Fun Boxers
26196,3,1.0,3.0,Underwear,Tommy Bahama
11280,3,1.0,3.0,Intimates,Spanx
23084,3,1.0,3.0,Shorts,Haggar
21169,3,1.0,3.0,Jeans,A:X Armani Exchange
11934,3,,,Intimates,Cosabella
5802,3,1.0,3.0,Leggings,MAXSTUDIO
10293,3,1.0,3.0,Sleep & Lounge,Betsey Johnson
413,3,1.0,3.0,Tops & Tees,Tommy Hilfiger
17023,3,1.0,3.0,Tops & Tees,Tommy Hilfiger
14614,3,,,Maternity,Motherhood Maternity
17386,3,,,Fashion Hoodies & Sweatshirts,Quiksilver
17511,3,2.0,1.5,Fashion Hoodies & Sweatshirts,Billabong
6579,3,,,Shorts,Joe's Jeans
216,3,1.0,3.0,Tops & Tees,New Balance
22577,3,1.0,3.0,Pants,American Apparel
26019,3,4.0,0.75,Underwear,Papi
21361,3,4.0,0.75,Jeans,G by GUESS
21893,3,2.0,1.5,Pants,Volcom
8805,3,1.0,3.0,Outerwear & Coats,Shaynecoat
20201,3,1.0,3.0,Suits & Sport Coats,Original Penguin
27424,3,,,Swim,Volcom
23803,3,4.0,0.75,Outerwear & Coats,Canada Goose
18333,3,1.0,3.0,Active,Champion
3180,3,1.0,3.0,Dresses,BCBGMAXAZRIA
7123,3,1.0,3.0,Skirts,Calvin Klein
5624,3,,,Pants & Capris,Alfred Dunner
12883,3,2.0,1.5,Swim,Sheridyn Swim
28250,3,2.0,1.5,Swim,Hurley
2559,3,3.0,1.0,Active,Nike
19929,3,5.0,0.6,Suits & Sport Coats,Bellfield
21118,3,,,Jeans,True Religion
27090,3,1.0,3.0,Sleep & Lounge,Ed Hardy
14348,3,1.0,3.0,Maternity,Belly Bandit
7005,3,1.0,3.0,Shorts,Allegra K
15419,3,2.0,1.5,Plus,Greatlookz
27732,3,1.0,3.0,Swim,Speedo
4889,3,1.0,3.0,Jeans,YMI
23260,3,,,Shorts,Woolrich
2606,3,2.0,1.5,Active,Champion
17398,3,,,Fashion Hoodies & Sweatshirts,Southpole
19799,3,1.0,3.0,Suits & Sport Coats,Joseph Abboud
16481,3,4.0,0.75,Tops & Tees,Nautica
19686,3,1.0,3.0,Sweaters,Raffi
26757,3,,,Sleep & Lounge,U.S. Polo Assn.
28936,3,,,Accessories,Guide Gear
22441,3,,,Pants,Yala
26166,3,3.0,1.0,Underwear,Craft
24060,3,4.0,0.75,Outerwear & Coats,Tri-Mountain
2825,3,,,Active,Life Is Good
7495,3,1.0,3.0,Blazers & Jackets,Tops and Bottoms HS
9156,3,1.0,3.0,Socks & Hosiery,Foot Traffic
14408,3,,,Maternity,Motherhood Maternity
12445,3,2.0,1.5,Intimates,Coquette
17800,3,2.0,1.5,Fashion Hoodies & Sweatshirts,ililily
19666,3,2.0,1.5,Sweaters,Nautica
2719,3,,,Active,Canada Goose
4436,3,,,Jeans,Levi's
23864,3,2.0,1.5,Outerwear & Coats,Moncler
672,3,1.0,3.0,Tops & Tees,Hurley
26337,3,1.0,3.0,Underwear,CUA
17464,3,1.0,3.0,Fashion Hoodies & Sweatshirts,DC
28384,3,,,Accessories,TopHeadwear
26976,3,2.0,1.5,Sleep & Lounge,DreamSacks
7051,3,,,Shorts,Nantucket Brand
11941,3,2.0,1.5,Intimates,Eberjey
4665,3,2.0,1.5,Jeans,Democracy
26951,3,1.0,3.0,Sleep & Lounge,Croft & BarrowÂ®
9990,3,2.0,1.5,Sleep & Lounge,Hatley
28509,3,3.0,1.0,Accessories,Dickies
27130,3,2.0,1.5,Sleep & Lounge,Majestic International
13045,3,5.0,0.6,Swim,Coolibar
28577,3,,,Accessories,Plastics Made in U.S.A.
24132,3,2.0,1.5,Outerwear & Coats,Port Authority
17438,3,,,Fashion Hoodies & Sweatshirts,Volcom
26617,3,1.0,3.0,Sleep & Lounge,Private Label
15552,3,1.0,3.0,Plus,Woman Within
26440,3,1.0,3.0,Underwear,Intimo
306,3,1.0,3.0,Tops & Tees,ASICS
16474,3,3.0,1.0,Tops & Tees,Carhartt
26910,3,,,Sleep & Lounge,Touch of Europe Flannel Pants
22570,3,1.0,3.0,Pants,Moods of Norway
2949,3,3.0,1.0,Active,Trendy Trends
27923,3,5.0,0.6,Swim,Zonal
8338,3,,,Outerwear & Coats,Allegra K
15666,3,,,Plus,Wallflower
1678,3,3.0,1.0,Fashion Hoodies & Sweatshirts,Burton
10897,3,,,Intimates,Natori
16021,3,2.0,1.5,Tops & Tees,Diesel
7032,3,1.0,3.0,Shorts,AxParis
27259,3,1.0,3.0,Sleep & Lounge,Touch of Europe Flannel Pants
19883,3,2.0,1.5,Suits & Sport Coats,Jones New York
25247,3,4.0,0.75,Socks,Parquet
20302,3,,,Suits & Sport Coats,Dessy
1549,3,,,Fashion Hoodies & Sweatshirts,Fox
8991,3,2.0,1.5,Socks & Hosiery,Angelina
27819,3,1.0,3.0,Swim,Original Penguin
15111,3,3.0,1.0,Maternity,Olian
28178,3,,,Swim,Fox
16524,3,2.0,1.5,Tops & Tees,Tommy Hilfiger
